:START_ID(User-ID),:END_ID(Place-ID),:TYPE
0,1,CHECKED_IN
2,2,CHECKED_IN
3,2,CHECKED_IN
4,1,CHECKED_IN
5,1,CHECKED_IN
7,1,CHECKED_IN
8,1,CHECKED_IN
11,1,CHECKED_IN
12,1,CHECKED_IN
13,1,CHECKED_IN
14,1,CHECKED_IN
15,1,CHECKED_IN
17,1,CHECKED_IN
18,1,CHECKED_IN
19,1,CHECKED_IN
22,4,CHECKED_IN
23,4,CHECKED_IN
24,1,CHECKED_IN
25,1,CHECKED_IN
26,3,CHECKED_IN
27,1,CHECKED_IN
31,1,CHECKED_IN
33,1,CHECKED_IN
36,1,CHECKED_IN
37,1,CHECKED_IN
39,2,CHECKED_IN
41,1,CHECKED_IN
42,1,CHECKED_IN
44,1,CHECKED_IN
45,1,CHECKED_IN
7,1,CHECKED_IN
47,1,CHECKED_IN
48,2,CHECKED_IN
50,3,CHECKED_IN
51,1,CHECKED_IN
52,1,CHECKED_IN
53,1,CHECKED_IN
54,1,CHECKED_IN
56,1,CHECKED_IN
57,1,CHECKED_IN
58,1,CHECKED_IN
59,1,CHECKED_IN
61,1,CHECKED_IN
11,1,CHECKED_IN
62,1,CHECKED_IN
63,1,CHECKED_IN
65,2,CHECKED_IN
69,2,CHECKED_IN
70,1,CHECKED_IN
71,10,CHECKED_IN
72,1,CHECKED_IN
73,1,CHECKED_IN
74,2,CHECKED_IN
75,1,CHECKED_IN
77,1,CHECKED_IN
79,1,CHECKED_IN
83,1,CHECKED_IN
84,1,CHECKED_IN
85,1,CHECKED_IN
87,1,CHECKED_IN
89,1,CHECKED_IN
90,1,CHECKED_IN
91,1,CHECKED_IN
92,1,CHECKED_IN
94,1,CHECKED_IN
96,1,CHECKED_IN
98,1,CHECKED_IN
99,1,CHECKED_IN
100,1,CHECKED_IN
102,1,CHECKED_IN
103,2,CHECKED_IN
104,1,CHECKED_IN
105,1,CHECKED_IN
106,1,CHECKED_IN
107,1,CHECKED_IN
110,1,CHECKED_IN
111,1,CHECKED_IN
36,6,CHECKED_IN
112,1,CHECKED_IN
113,1,CHECKED_IN
114,8,CHECKED_IN
115,8,CHECKED_IN
116,1,CHECKED_IN
118,1,CHECKED_IN
119,1,CHECKED_IN
121,1,CHECKED_IN
122,22,CHECKED_IN
123,1,CHECKED_IN
124,1,CHECKED_IN
125,1,CHECKED_IN
127,1,CHECKED_IN
129,1,CHECKED_IN
130,1,CHECKED_IN
132,1,CHECKED_IN
134,2,CHECKED_IN
135,1,CHECKED_IN
137,1,CHECKED_IN
138,1,CHECKED_IN
61,1,CHECKED_IN
139,3,CHECKED_IN
140,1,CHECKED_IN
60,4,CHECKED_IN
